id,module,use_case,prompt_title,prompt_text,expected_output_format,difficulty,customization_notes
P001,M1_Foundations,study,GCCF Structured Explanation,"Goal: Explain the concept of Object-Oriented Programming to me. Context: I am a first-year engineering student who knows basic C programming but has never used classes or objects. Constraints: Use simple language. No jargon without explanation. Keep it under 200 words. Format: Start with a one-line definition, then use a real-world analogy, then list the 4 main OOP principles with a one-sentence explanation each.",structured text,easy,"Replace Object-Oriented Programming with any concept. Update the Context to match your actual background."
P002,M1_Foundations,study,Context Layering for Deep Understanding,"Goal: Explain how DNS resolution works step by step. Context Layer 1 â€” Who I am: A second-year IT student who understands what IP addresses are but not how domain names get translated. Context Layer 2 â€” What I already know: I know browsers send HTTP requests and servers respond. Context Layer 3 â€” Why I need this: I have a computer networks viva tomorrow and need to explain the full process clearly. Constraints: Use a numbered step-by-step walkthrough. Include what happens at each server (recursive resolver, root, TLD, authoritative). Max 250 words. Format: Numbered steps, one sentence per step, with a short analogy at the end comparing DNS to something from daily life.",structured text,medium,"Replace DNS resolution with any process you need to understand. Update all three context layers honestly."
P003,M1_Foundations,study,Ambiguity-Free Definition Request,"Goal: Define the term 'polymorphism' in programming. Constraints: 1. Give exactly one definition in one sentence. 2. Then give exactly one real code-level example in Python showing polymorphism in action (under 10 lines). 3. Then list exactly 2 common mistakes students make when explaining polymorphism in exams. 4. Do not use analogies. 5. Do not write more than 150 words total. Format: Definition â†’ Code block â†’ Numbered mistake list.",definition + code + list,easy,"Replace polymorphism with any technical term. Adjust the word limit and number of mistakes."
P004,M1_Foundations,study,Few-Shot Pattern Teaching,"I want you to generate exam-style short answer questions from my notes. Here is the format I need: Q: [question] A: [answer in exactly 2 sentences]. Here are 3 examples showing the pattern: Q: What is encapsulation? A: Encapsulation is bundling data and methods that operate on that data into a single unit called a class. It hides internal details and exposes only what is necessary through public methods. Q: What is a primary key? A: A primary key is a column or set of columns that uniquely identifies each row in a database table. It cannot contain NULL values and each table can have only one primary key. Q: What is TCP? A: TCP (Transmission Control Protocol) is a connection-oriented protocol that ensures reliable data delivery between devices. It uses a three-way handshake to establish a connection before transmitting data. Now generate 8 questions in this exact format from these notes: [PASTE YOUR NOTES HERE]",Q&A pairs,easy,"Replace the example Q&A pairs with ones from your subject. Paste your actual study notes where indicated."
P005,M1_Foundations,study,Expert Tutor Persona,"You are a patient computer science professor who has taught Data Structures for 20 years. You explain concepts using everyday analogies before showing technical details. You always check understanding by asking one follow-up question at the end. A student asks you: What is a hash table and why is it faster than a list for lookups? Explain clearly. Use one real-world analogy. Show a simple Python dictionary example. State the average time complexity for lookup in both hash table and list. End with one question to check my understanding. Keep your response under 200 words.",explanation + question,medium,"Change the persona to match the expertise you need. Swap the topic and adjust the word limit."
P006,M1_Foundations,study,Ask Before Answering,"I need help understanding a topic for my exam. Before answering, ask me exactly 4 clarifying questions to give me the most useful explanation. Questions should cover: 1. What specific topic or subtopic I need help with, 2. What I already know about it, 3. How deep I need the explanation (surface-level overview or exam-detail), 4. What format would help me most (analogy, steps, diagram description, or code). After I answer all 4 questions, then give me your explanation. My topic: Data Structures. Do not answer yet â€” only ask the 4 questions.",questions then answer,easy,"Replace Data Structures with any broad topic where you need a tailored explanation."
P007,M1_Foundations,study,Constraint-Driven Simplification,"Goal: Explain how the Internet works. Constraints: 1. Explain it so a 10-year-old would understand. 2. Use only everyday words â€” no technical terms at all. 3. Use exactly one analogy involving sending a letter through the postal system. 4. Keep it to exactly 5 sentences. 5. Each sentence must be under 15 words. Format: 5 numbered sentences.",simplified explanation,easy,"Replace the topic. Adjust the analogy and sentence limits. Great for breaking down any complex concept."
P008,M1_Foundations,study,Format-Controlled Study Notes,"Goal: Create study notes on the topic of Normalization in Databases. Context: I am preparing for a semester exam and need notes that are quick to revise. Constraints: Cover only 1NF through 3NF. No BCNF or higher. Use one example table that you progressively normalize. Format: Use this exact structure for each normal form: ### [Normal Form Name], **Rule:** [one sentence], **Violation Example:** [show the table that breaks this rule], **Fixed Table:** [show the corrected table], **Memory Trick:** [one sentence to remember this rule].",structured notes,medium,"Replace Normalization with any topic. Adjust the structure template to your preferred note-taking style."
P009,M1_Foundations,study,Goal Precision Drill,"I will give you a vague study goal. Your job is to rewrite it as a precise GCCF prompt. Show: 1. The original vague goal. 2. What is wrong with it (list 3 problems). 3. The rewritten prompt using full GCCF structure (Goal, Context, Constraints, Format â€” each labeled). 4. Why the rewritten version will produce better output (2 sentences). Vague goal: Tell me about sorting.",analysis + rewrite,medium,"Replace the vague goal with any weak prompt you have written. Use this to practice making your prompts precise."
P010,M1_Foundations,study,GCCF Concept Comparison,"Goal: Compare stacks and queues for my data structures exam. Context: I am a first-year student who understands arrays but just started learning abstract data types. Constraints: Only cover the 5 most important differences. Use simple language. Include one real-world analogy for each. No code. Max 200 words. Format: A comparison table with columns: Feature, Stack, Queue. After the table, write one line explaining when to use each.",table + summary,easy,"Replace stacks/queues with any two concepts. Adjust the number of differences and the word limit."
